"Price","Name","Available"
1995,"Ancient Lichen",2761
180000,"Design: Sparkling Azure Moonstone",10
79997,"Design: Solid Azure Moonstone",8
54492,"Azure Moonstone Ring (99)",10
37000,"Design: Stormy Azure Moonstone",6
13090,"Lustrous Azure Moonstone",37
5395,"Solid Azure Moonstone",121
4499,"Sparkling Azure Moonstone",43
4000,"Stormy Azure Moonstone",33
2899,"Azure Moonstone",441
150000,"Design: Balanced Nightseye",8
45795,"Balanced Nightseye",17
217424,"Design: Balanced Shadow Draenite",3
14997,"Balanced Shadow Draenite",15
150000,"Design: Bold Blood Garnet",5
33313,"Bold Blood Garnet",57
848990,"Bracing Earthstorm Diamond",43
6021299,"Bright Blood Garnet",8
349997,"Design: Bright Blood Garnet",1
500,"Briarthorn",329
499994,"Bright Living Ruby",46
458995,"Design: Bright Living Ruby",3
1200000,"Design: Brilliant Dawnstone",10
119044,"Brilliant Dawnstone",75
250000,"Design: Brilliant Golden Draenite",3
9998,"Brilliant Golden Draenite",26
1024891,"Chaotic Skyfire Diamond",33
4693,"Crystal Vial",68
509000,"Design: Brutal Earthstorm Diamond",4
300000,"Brutal Earthstorm Diamond",14
4996,"Dazzling Deep Peridot",25
150000,"Design: Radiant Deep Peridot",2
120000,"Design: Jagged Deep Peridot",6
16197,"Jagged Deep Peridot",51
14797,"Deep Peridot",858
5300,"Enduring Deep Peridot",37
3748,"Radiant Deep Peridot",19
59964,"Delicate Blood Garnet",43
669999,"Delicate Living Ruby",100
4874754,"Recipe: Destruction Potion",4
57372,"Destruction Potion",2872
955999,"Relentless Earthstorm Diamond",84
848975,"Powerful Earthstorm Diamond",4
813000,"Insightful Earthstorm Diamond",31
799999,"Tenacious Earthstorm Diamond",4
777998,"Earthstorm Diamond",143
695000,"Design: Tenacious Earthstorm Diamond",14
560000,"Design: Enduring Talasite",4
39799,"Enduring Talasite",60
950000,"Enigmatic Skyfire Diamond",10
6099,"Eternium Ore",833
6200,"Fel Iron Ore",3159
88999,"Fel Lotus",369
88887,"Felsteel Bar",268
507142,"Design: Veiled Flame Spessarite",3
130000,"Design: Inscribed Flame Spessarite",7
79999,"Design: Glinting Flame Spessarite",2
14988,"Veiled Flame Spessarite",34
14961,"Wicked Flame Spessarite",28
12351,"Inscribed Flame Spessarite",35
10599,"Potent Flame Spessarite",85
10049,"Luminous Flame Spessarite",116
9594,"Glinting Flame Spessarite",56
2398,"Flame Spessarite",789
405000,"Flashing Living Ruby",17
141000,"Design: Flashing Living Ruby",6
116900,"Gleaming Dawnstone",100
16090,"Gleaming Golden Draenite",22
479000,"Design: Glinting Noble Topaz",9
145398,"Glinting Noble Topaz",132
120000,"Design: Glowing Shadow Draenite",6
10000,"Glowing Shadow Draenite",11
6603773,"Great Golden Draenite",7
293889,"Golden Draenite Ring (93)",4
155999,"Design: Great Golden Draenite",2
149999,"Design: Smooth Golden Draenite",5
117272,"Thick Golden Draenite",10
27196,"Smooth Golden Draenite",98
14697,"Rigid Golden Draenite",35
9000,"Golden Draenite",294
13799995,"Recipe: Haste Potion",8
60993,"Haste Potion",1057
84496,"Recipe: Heroic Potion",8
44950,"Heroic Potion",83
23568,"Imbued Vial",83
137799,"Design: Infused Nightseye",3
38594,"Infused Nightseye",40
99998,"Design: Infused Shadow Draenite",3
19999,"Infused Shadow Draenite",30
704998,"Design: Inscribed Noble Topaz",9
167475,"Inscribed Noble Topaz",134
27748,"Ironshield Potion",529
1447500,"Design: Jagged Talasite",4
47582,"Jagged Talasite",72
3877500,"Design: Teardrop Living Ruby",1
2985000,"Design: Runed Living Ruby",8
1607449,"Living Ruby Pendant (113)",7
1499999,"Design: Delicate Living Ruby",6
1094998,"Design: Bold Living Ruby",9
698998,"Subtle Living Ruby",27
673998,"Runed Living Ruby",188
623000,"Teardrop Living Ruby",74
587798,"Living Ruby",141
583997,"Bold Living Ruby",55
158498,"Design: Subtle Living Ruby",13
698000,"Design: Luminous Noble Topaz",9
157300,"Luminous Noble Topaz",119
90000,"Design: Lustrous Star of Elune",1
41400,"Lustrous Star of Elune",17
23600,"Mana Thistle",873
4600,"Mote of Earth",1137
99999,"Mystic Dawnstone",123
1999999,"Design: Mystical Skyfire Diamond",1
959990,"Mystical Skyfire Diamond",10
14597,"Netherbloom",6228
19600,"Nightmare Vine",1851
600000,"Design: Royal Nightseye",10
598998,"Design: Glowing Nightseye",8
409000,"Design: Shifting Nightseye",5
379998,"Design: Sovereign Nightseye",4
90000,"Sovereign Nightseye",11
70990,"Glowing Nightseye",73
68979,"Shifting Nightseye",93
64898,"Royal Nightseye",76
39898,"Nightseye",100
539999,"Design: Potent Noble Topaz",9
354999,"Design: Veiled Noble Topaz",10
221000,"Design: Wicked Noble Topaz",16
199999,"Potent Noble Topaz",19
143993,"Veiled Noble Topaz",90
100000,"Wicked Noble Topaz",35
90094,"Noble Topaz",201
119997,"Primal Air",1371
42800,"Primal Earth",1041
141400,"Primal Fire",1646
125999,"Primal Mana",1471
690000,"Primal Might",113
147097,"Primal Water",1005
45000,"Radiant Talasite",11
910124,"Design: Rigid Dawnstone",5
109897,"Rigid Dawnstone",82
97998,"Runed Blood Garnet",214
7800,"Royal Shadow Draenite",41
9999,"Sovereign Shadow Draenite",8
5000,"Shadow Draenite",676
4990,"Shifting Shadow Draenite",18
2000000,"Design: Thundering Skyfire Diamond",6
1359888,"Thundering Skyfire Diamond",8
1079997,"Swift Skyfire Diamond",14
921998,"Skyfire Diamond",65
839999,"Destructive Skyfire Diamond",13
350000,"Design: Destructive Skyfire Diamond",12
365999,"Design: Smooth Dawnstone",5
118999,"Smooth Dawnstone",28
2005000,"Design: Solid Star of Elune",12
47000,"Solid Star of Elune",70
249000,"Design: Sparkling Star of Elune",3
43400,"Sparkling Star of Elune",27
61982,"Steady Talasite",16
29998,"Star of Elune",76
345997,"Design: Stormy Star of Elune",13
58092,"Stormy Star of Elune",73
25799,"Swiftness Potion",215
2500,"Recipe: Swiftness Potion",12
19800,"Swiftthistle",720
297886,"Design: Dazzling Talasite",8
37084,"Dazzling Talasite",26
30096,"Talasite",224
54499,"Teardrop Blood Garnet",38
272999,"Design: Thick Dawnstone",15
119998,"Thick Dawnstone",128
23200,"Terocone",4866
